"estimator","cohort","event_time","estimate","se","identified","is_pre"
"SA",2004,-3,-0.146341463414674,0.0616899567388716,TRUE,TRUE
"SA",2004,-2,-0.14634146341467,0.0616899567388734,TRUE,TRUE
"SA",2004,0,-0.292682926829311,0.079413518860229,TRUE,FALSE
"SA",2004,1,-0.0975609756097941,0.0517887794816449,TRUE,FALSE
"SA",2004,2,-0.0731707317073567,0.0454524443744489,TRUE,FALSE
"SA",2004,3,-0.097560975609796,0.0517887794816466,TRUE,FALSE
"SA",2004,4,-0.170731707317104,0.0656739740239869,TRUE,FALSE
"SA",2004,5,-0.24390243902443,0.0749524209830921,TRUE,FALSE
"SA",2004,6,-0.243902439024432,0.074952420983091,TRUE,FALSE
"SA",2004,7,-0.195121951219556,0.0691682490221262,TRUE,FALSE
"SA",2004,8,-0.26829268292687,0.0773324533490494,TRUE,FALSE
"SA",2004,9,-0.243902439024432,0.0749524209830919,TRUE,FALSE
"SA",2004,10,-0.268292682926871,0.0773324533490515,TRUE,FALSE
"SA",2004,11,-0.21951219512199,0.0722438799379875,TRUE,FALSE
"SA",2004,12,-0.243902439024455,0.074952420983093,TRUE,FALSE
"SA",2004,13,-0.695121951219557,0.401134396348295,TRUE,FALSE
"SA",2004,14,-0.170731707317121,0.0656739740239833,TRUE,FALSE
"SA",2004,15,-0.243902439024433,0.0749524209830927,TRUE,FALSE
"SA",2004,16,-0.646341463414671,0.39991275051362,TRUE,FALSE
"SA",2008,-8,-0.0487804878047679,0.0662235566098494,TRUE,TRUE
"SA",2008,-7,-0.0487804878047687,0.0766262061051018,TRUE,TRUE
"SA",2008,-6,0.95121951219527,0.0766262061051084,TRUE,TRUE
"SA",2008,-5,0.0975609756098749,0.0517887794816873,TRUE,TRUE
"SA",2008,-4,-0.195121951219415,0.0691682490221447,TRUE,TRUE
"SA",2008,-3,1.12871333423082e-13,0.0667686156514414,TRUE,TRUE
"SA",2008,-2,0.0243902439025512,0.0608022851833818,TRUE,TRUE
"SA",2008,0,-0.0731707317071997,0.0709785652406508,TRUE,FALSE
"SA",2008,1,0.853658536585504,0.0823266833198923,TRUE,FALSE
"SA",2008,2,-0.146341463414532,0.0823266833198853,TRUE,FALSE
"SA",2008,3,-0.0975609756096511,0.0751938142682521,TRUE,FALSE
"SA",2008,4,-0.170731707316973,0.0936542519062302,TRUE,FALSE
"SA",2008,5,-0.146341463414532,0.0727438435501517,TRUE,FALSE
"SA",2008,6,-0.170731707316973,0.0853528141780554,TRUE,FALSE
"SA",2008,7,-0.121951219512088,0.0878637263256083,TRUE,FALSE
"SA",2008,8,-0.146341463414556,0.090904888748935,TRUE,FALSE
"SA",2008,9,-0.0975609756096547,0.0844992645897571,TRUE,FALSE
"SA",2008,10,-0.0731707317072153,0.0894985404776307,TRUE,FALSE
"SA",2008,11,-0.146341463414531,0.0823266833198894,TRUE,FALSE
"SA",2008,12,-0.0487804878047679,0.0766262061051025,TRUE,FALSE
"SA",2009,-9,0.0243902439023953,0.0816636388334594,TRUE,TRUE
"SA",2009,-8,0.024390243902396,0.236986035800433,TRUE,TRUE
"SA",2009,-7,0.0243902439023987,0.240100806280205,TRUE,TRUE
"SA",2009,-6,0.0278745644598913,0.16174487753222,TRUE,TRUE
"SA",2009,-5,-0.264808362369388,0.167577901095646,TRUE,TRUE
"SA",2009,-4,-0.212543554007012,0.207214535305728,TRUE,TRUE
"SA",2009,-3,-0.0452961672474301,0.28014619668468,TRUE,TRUE
"SA",2009,-2,0.0731707317072744,0.0709785652406205,TRUE,TRUE
"SA",2009,0,-0.216027874564506,0.163970397533888,TRUE,FALSE
"SA",2009,1,-0.216027874564507,0.281694434713055,TRUE,FALSE
"SA",2009,2,-0.167247386759631,0.279303984411622,TRUE,FALSE
"SA",2009,3,-0.38327526132409,0.205104852723071,TRUE,FALSE
"SA",2009,4,-0.358885017421652,0.304025155042876,TRUE,FALSE
"SA",2009,5,-0.240418118466947,0.28278597477403,TRUE,FALSE
"SA",2009,6,-0.33449477351921,0.205634302509106,TRUE,FALSE
"SA",2009,7,-0.216027874564531,0.286921220149916,TRUE,FALSE
"SA",2009,8,0.261324041811797,0.306695758175347,TRUE,FALSE
"SA",2009,9,-5.16218145282267e-14,0.238586486031569,TRUE,FALSE
"SA",2009,10,-0.0731707317073648,0.236679961113103,TRUE,FALSE
